document_id,chunk_id,language,fact_ids,token_count,prose_char_count
D01,D01-S1,en,"F0101,F0102,F0103,F0104",57,331
D01,D01-S1,nl,"F0101,F0102,F0103,F0104",55,327
D01,D01-S1,tr,"F0101,F0102,F0103,F0104",75,293
D01,D01-S2,en,"F0105,F0106,F0107",56,315
D01,D01-S2,nl,"F0105,F0106,F0107",63,341
D01,D01-S2,tr,"F0105,F0106,F0107",71,310
D01,D01-S3,en,"F0108,F0109",59,216
D01,D01-S3,nl,"F0108,F0109",61,244
D01,D01-S3,tr,"F0108,F0109",69,237
D01,D01-S4,en,F0110,19,90
D01,D01-S4,nl,F0110,21,104
D01,D01-S4,tr,F0110,28,93
D02,D02-S1,en,F0201,17,86
D02,D02-S1,nl,F0201,16,86
D02,D02-S1,tr,F0201,21,88
D02,D02-S2,en,F0202,15,92
D02,D02-S2,nl,F0202,14,87
D02,D02-S2,tr,F0202,28,96
D02,D02-S3,en,"F0203,F0204",27,140
D02,D02-S3,nl,"F0203,F0204",29,171
D02,D02-S3,tr,"F0203,F0204",36,151
D02,D02-S4,en,"F0205,F0206,F0207,F0208",59,311
D02,D02-S4,nl,"F0205,F0206,F0207,F0208",70,395
D02,D02-S4,tr,"F0205,F0206,F0207,F0208",88,337
D02,D02-S5,en,F0209,26,120
D02,D02-S5,nl,F0209,26,140
D02,D02-S5,tr,F0209,37,127
D03,D03-S1,en,"F0301,F0305",24,109
D03,D03-S1,nl,"F0301,F0305",26,122
D03,D03-S1,tr,"F0301,F0305",29,112
D03,D03-S2,en,"F0302,F0303",43,222
D03,D03-S2,nl,"F0302,F0303",54,301
D03,D03-S2,tr,"F0302,F0303",69,242
D03,D03-S3,en,"F0304,F0306",42,233
D03,D03-S3,nl,"F0304,F0306",48,267
D03,D03-S3,tr,"F0304,F0306",55,208
D03,D03-S4,en,"F0307,F0308",24,135
D03,D03-S4,nl,"F0307,F0308",27,171
D03,D03-S4,tr,"F0307,F0308",43,134
D03,D03-S5,en,"F0309,F0310,F0311",53,274
D03,D03-S5,nl,"F0309,F0310,F0311",51,293
D03,D03-S5,tr,"F0309,F0310,F0311",68,246
D04,D04-S1,en,F0401,12,65
D04,D04-S1,nl,F0401,13,69
D04,D04-S1,tr,F0401,14,60
D04,D04-S2,en,"F0402,F0403",39,200
D04,D04-S2,nl,"F0402,F0403",32,188
D04,D04-S2,tr,"F0402,F0403",38,179
D04,D04-S3,en,F0404,13,67
D04,D04-S3,nl,F0404,13,69
D04,D04-S3,tr,F0404,14,70
D04,D04-S4,en,"F0405,F0406",25,112
D04,D04-S4,nl,"F0405,F0406",28,137
D04,D04-S4,tr,"F0405,F0406",37,121
D04,D04-S5,en,"F0407,F0408,F0409",69,359
D04,D04-S5,nl,"F0407,F0408,F0409",72,391
D04,D04-S5,tr,"F0407,F0408,F0409",98,364
D05,D05-S1,en,"F0501,F0502,F0503",33,171
D05,D05-S1,nl,"F0501,F0502,F0503",32,173
D05,D05-S1,tr,"F0501,F0502,F0503",44,157
D05,D05-S2,en,F0504,10,54
D05,D05-S2,nl,F0504,12,76
D05,D05-S2,tr,F0504,20,69
D05,D05-S3,en,"F0505,F0506",39,179
D05,D05-S3,nl,"F0505,F0506",40,206
D05,D05-S3,tr,"F0505,F0506",48,199
D05,D05-S4,en,"F0507,F0508",46,224
D05,D05-S4,nl,"F0507,F0508",46,256
D05,D05-S4,tr,"F0507,F0508",63,235
D06,D06-S1,en,"F0601,F0602,F0603,F0604",69,320
D06,D06-S1,nl,"F0601,F0602,F0603,F0604",74,375
D06,D06-S1,tr,"F0601,F0602,F0603,F0604",93,331
D06,D06-S2,en,F0605,15,80
D06,D06-S2,nl,F0605,19,95
D06,D06-S2,tr,F0605,29,79
D06,D06-S3,en,"F0606,F0607,F0608,F0609",65,297
D06,D06-S3,nl,"F0606,F0607,F0608,F0609",75,390
D06,D06-S3,tr,"F0606,F0607,F0608,F0609",102,356
D06,D06-S4,en,"F0610,F0611",36,158
D06,D06-S4,nl,"F0610,F0611",38,174
D06,D06-S4,tr,"F0610,F0611",38,150
D06,D06-S5,en,F0612,15,92
D06,D06-S5,nl,F0612,22,116
D06,D06-S5,tr,F0612,24,98
D06,D06-S6,en,F0613,24,127
D06,D06-S6,nl,F0613,27,139
D06,D06-S6,tr,F0613,32,121
D07,D07-S1,en,"F0701,F0703",29,140
D07,D07-S1,nl,"F0701,F0703",30,181
D07,D07-S1,tr,"F0701,F0703",44,159
D07,D07-S2,en,"F0702,F0706",26,126
D07,D07-S2,nl,"F0702,F0706",27,161
D07,D07-S2,tr,"F0702,F0706",43,143
D07,D07-S3,en,"F0704,F0705",51,255
D07,D07-S3,nl,"F0704,F0705",53,279
D07,D07-S3,tr,"F0704,F0705",68,237
D07,D07-S4,en,F0708,21,123
D07,D07-S4,nl,F0708,23,150
D07,D07-S4,tr,F0708,27,130
D07,D07-S5,en,"F0707,F0709",49,269
D07,D07-S5,nl,"F0707,F0709",60,334
D07,D07-S5,tr,"F0707,F0709",77,283
D08,D08-S1,en,"F0801,F0802,F0803",46,209
D08,D08-S1,nl,"F0801,F0802,F0803",48,263
D08,D08-S1,tr,"F0801,F0802,F0803",72,252
D08,D08-S2,en,"F0804,F0805",26,145
D08,D08-S2,nl,"F0804,F0805",31,178
D08,D08-S2,tr,"F0804,F0805",48,166
D08,D08-S3,en,"F0806,F0807",51,235
D08,D08-S3,nl,"F0806,F0807",57,282
D08,D08-S3,tr,"F0806,F0807",88,279
D08,D08-S4,en,"F0807,F0809",45,211
D08,D08-S4,nl,"F0807,F0809",45,253
D08,D08-S4,tr,"F0807,F0809",63,260
D08,D08-S5,en,F0808,45,169
D08,D08-S5,nl,F0808,55,227
D08,D08-S5,tr,F0808,48,191
